"band.number","elo.score","elo.normalized","n.interactions"
"7612",949,-0.471148979341616,3
"7640",950,-0.461910764060408,1
"7635",1057,0.526578271028865,2
"23726",1009,0.0831439375308734,6
"23809",850,-1.38573229218122,1
"7636",1050,0.461910764060408,1
"7609",1050,0.461910764060408,1
"23853",1043,0.397243257091951,3
"23831",1120,1.10858583374498,2
"23862",993,-0.0646675069684571,6
"7675",1027,0.24943181259262,4
"7615",1123,1.1363004795886,3
"23732",1029,0.267908243155037,1
"23774",1062,0.572769347434906,1
"23773",1063,0.582007562716114,2
"7632",1007,0.0646675069684571,11
"7619",938,-0.572769347434906,9
"7623",1108,0.997727250370481,4
"7662",855,-1.33954121577518,9
"7669",920,-0.739057222496653,7
"7670",950,-0.461910764060408,8
"7664",961,-0.360290395967118,11
"7667",915,-0.785248298902693,1
"7660",958,-0.388005041810743,2
"23772",1044,0.406481472373159,1
"23770",950,-0.461910764060408,1
"7627",1129,1.19172977127585,2
"23815",1303,2.79917923020607,1
"7614",972,-0.258670027873828,1
"23780",683,-2.92851424414299,10
"7606",932,-0.628198639122155,1
